['G51', 'G48', 'G33', 'G21', 'G19', 'G14', 'G73', 'G66'];;X;Y;X1;Y1
V29;;744692,8741;6944781,453;744692,875;6944781,506
V30;;744591,9248;6944851,054;744591,909;6944851,045
V31;;744387,3716;6944783,016;744387,361;6944782,996
V32;;744501,0019;6944802,755;744500,9932;6944802,758
V33;;744566,6334;6944688,744;744566,6149;6944688,784
V34;;744477,3645;6944739,315;744477,1801;6944739,488
['G51', 'G47', 'G33', 'G26', 'G17', 'G15', 'G76', 'G63'];;;;;
V1;;744489,6996;6944624,925;744489,6758;6944624,956
V2;;744358,7762;6944595,208;744358,736;6944595,225
V3;;744292,6877;6944529,699;744292,6446;6944529,697
V4;;744379,7395;6944471,74;744379,6964;6944471,762
V5;;744375,6401;6944361,053;744375,6141;6944361,106
V6;;744365,5166;6944281,733;744365,4823;6944281,783
V7;;744506,2639;6944317,478;744506,248;6944317,532
V8;;744640,49;6944241,535;744640,5095;6944241,599
V9;;744709,4048;6944282,433;744709,4169;6944282,495
V10;;744648,4358;6944171,17;744648,4497;6944171,232
V11;;744775,9731;6944099,924;744776,0061;6944099,946
V12;;744851,9268;6943999,33;744851,9517;6943999,337
V13;;744958,5623;6944107,763;744958,6138;6944107,754
V14;;744983,8407;6944177,186;744983,8694;6944177,169
V15;;744873,1976;6944252,738;744873,2112;6944252,756
V16;;744961,3634;6944365,317;744961,3927;6944365,329
V17;;744895,9005;6944433,289;744895,9053;6944433,308
V18;;745027,9567;6944505,259;745027,9742;6944505,255
V19;;744947,5325;6944568,036;744947,5341;6944568,059
V20;;744909,3716;6944668,246;744909,3748;6944668,278
V21;;744850,3738;6944703,992;744850,3571;6944704,026
V22;;744801,2803;6944637,61;744801,2928;6944637,669
V23;;744715,7997;6944606,098;744715,8142;6944606,16
V24;;744710,6621;6944516,867;744710,6729;6944516,927
V25;;744799,7115;6944440,585;744799,7232;6944440,624
V26;;744659,6353;6944369,939;744659,6545;6944369,991
V27;;744601,7934;6944461,985;744603,0966;6944461,605
V28;;744704,4866;6944714,316;744704,4781;6944714,369
V29;;744692,8799;6944781,455;744692,875;6944781,506
V30;;744591,9304;6944851,057;744591,909;6944851,045
V31;;744387,3726;6944783,023;744387,361;6944782,996
V32;;744501,0067;6944802,764;744500,9932;6944802,758
V33;;744566,6349;6944688,75;744566,6149;6944688,784
V34;;744477,3667;6944739,324;744477,1801;6944739,488
['G53', 'G34', 'G30', 'G23', 'G20', 'G15', 'G68', 'G65'];;;;;
V1;;744489,6901;6944624,923;744489,6758;6944624,956
V2;;744358,766;6944595,203;744358,736;6944595,225
V3;;744292,6786;6944529,691;744292,6446;6944529,697
V4;;744379,7335;6944471,736;744379,6964;6944471,762
V5;;744375,6377;6944361,051;744375,6141;6944361,106
V6;;744365,5168;6944281,732;744365,4823;6944281,783
V7;;744506,2649;6944317,481;744506,248;6944317,532
V8;;744640,4937;6944241,532;744640,5095;6944241,599
V9;;744709,4081;6944282,433;744709,4169;6944282,495
V10;;744648,4416;6944171,167;744648,4497;6944171,232
V11;;744775,9828;6944099,924;744776,0061;6944099,946
V12;;744851,941;6943999,335;744851,9517;6943999,337
V13;;744958,5743;6944107,77;744958,6138;6944107,754
V14;;744983,851;6944177,194;744983,8694;6944177,169
V15;;744873,2042;6944252,744;744873,2112;6944252,756
V16;;744961,3678;6944365,326;744961,3927;6944365,329
V17;;744895,902;6944433,296;744895,9053;6944433,308
